fieldID, ra (rad), dec (rad)
(350, 3.9948071488816663, -1.0587340987227114)
(351, 2.2883781582979195, -1.0587340987227114)
(352, 3.436493535841967, -1.0484585579727497)
(353, 2.8466917713376194, -1.0484585579727497)
(354, 4.693129532013453, -1.0484584913937234)
(355, 1.5900556420080765, -1.0484584913937234)
(356, 5.359965894209454, -1.0484580919195599)
(357, 0.9232194795491654, -1.0484580919195599)
(358, 4.1033306969862915, -1.0484579587615042)
(359, 2.1798546101932943, -1.0484579587615042)
(360, 5.9497676587138, -1.0484578256034502)
(361, 0.3334178814923745, -1.0484578256034502)
(362, 3.141592653589793, -1.0418336784450695)
(363, 5.654866776461628, -1.0418334121289596)
(364, 0.6283185972969865, -1.0418334121289596)
(365, 4.39822971502571, -1.041833012654796)
(366, 1.8849557253119384, -1.041833012654796)
(367, 4.20739504816168, -1.0339720934861834)
(368, 2.0757902590179063, -1.0339720934861834)
(369, 5.845703041222306, -1.0339716274329918)
(370, 0.4374821993782511, -1.0339716274329918)
(371, 4.589065979786389, -1.0339716274329918)
(372, 1.694119593709304, -1.0339716274329918)
(373, 5.4640315769653816, -1.033971560853964)
(374, 0.819153929951285, -1.033971560853964)
(375, 3.332428385718255, -1.033971560853964)
(376, 2.950756921461331, -1.033971560853964)
(377, 3.8219903646886855, -1.0225753619172968)
(378, 2.4611949424909008, -1.0225753619172968)
(379, 4.974469065362736, -1.0225748292850794)
(380, 1.3087165081329621, -1.0225748292850794)
(381, 5.078626893492387, -1.0225746961270252)
(382, 1.2045582805291457, -1.0225746961270252)
(383, 3.7178309386623867, -1.0225746295479974)
(384, 2.5653543685171996, -1.0225746295479974)
(385, 6.231106126798652, -1.022574030336752)
(386, 0.05207943837466615, -1.022574030336752)
(387, 4.870891806350717, -1.018929228068869)
(388, 1.4122935008288686, -1.018929228068869)
(389, 3.614255011230908, -1.0189290949108152)
(390, 2.6689302959486776, -1.0189290949108152)
(391, 5.182203619872189, -1.0189288285947053)
